ID_BARRAGEM	NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
108	Barragem Central	Mineração Usiminas S.a.	12.056.613/0001-20	"-20°08'51.300"""	"-44°24'22.200"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	58	7560000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
109	Barragem Central	Safm Mineração Ltda	09.325.670/0001-52	"-20°16'22.353"""	"-43°53'42.615"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	25	471679,71	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
110	Barragem da Grota	Safm Mineração Ltda	09.325.670/0001-52	"-20°16'07.500"""	"-43°53'35.800"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	13,5	109380,15	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
111	Barragem da Mina II	Companhia Mineradora do Pirocloro de Araxá	17.806.779/0001-30	"-19°39'25.200"""	"-46°56'24.650"""	Sul do Equador	MG	ARAXÁ	Minério de Nióbio	25	22000	Etapa única	Baixa	Baixa	E	Sim
112	Barragem de Aredes	Safm Mineração Ltda	09.325.670/0001-52	"-20°16'32.800"""	"-43°53'53.600"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	17	450281,8	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
113	Barragem de Contenção de Sedimentos do Josino	Ferro + Mineração S.a.	21.256.870/0001-04	"-20°25'32.160"""	"-43°51'52.890"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	9	16636	Alteamento a jusante	Baixa	Média	C	Sim
114	Barragem de Decantação de Água e Polpa - EBII - Mineroduto	Samarco Mineração S A.	16.628.281/0001-61	"-20°22'19.041"""	"-42°21'17.308"""	Sul do Equador	MG	MATIPÓ	Sedimento	17	120942	Etapa única	Baixa	Alta	B	Sim
115	Barragem de Germano	Samarco Mineração S A.	16.628.281/0001-61	"-20°13'1.7922"""	"-43°28'0.6218"""	Sul do Equador	MG	MARIANA	Itabirito	163	129590000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
116	Barragem de Mercês	Bauminas Mineração Ltda	19.534.650/0001-45	"-21°07'57.271"""	"-43°21'01.241"""	Sul do Equador	MG	MERCÊS	Bauxita Grau Não Metalúrgico	29,5	237000	Etapa única	Baixa	Baixa	E	Sim
117	Barragem de Rejeito 1	Mbl Materiais Básicos Ltda	19.543.206/0001-96	"-20°09'24.900"""	"-44°28'24.200"""	Sul do Equador	MG	ITAÚNA	Minério de Ferro	27,5	72597,75	Etapa única	Baixa	Baixa	E	Sim
118	Barragem de Rejeitos	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-18°51'40.6188"""	"-43°24'14.1368"""	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	41,5	60000000	Alteamento a jusante	Baixa	Alta	B	Sim
119	Barragem de Rejeitos	Arcelormittal Mineração Serra Azul S.a.	08.102.787/0001-04	"-20°08'15.300"""	"-44°23'46.200"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	89	5250000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
120	BARRAGEM DIQUE 2	Minar Mineração Aredes Ltda.	20.066.908/0001-05	"-20°17'09.506"""	"-43°53'54.556"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	25	396000	Alteamento a montante ou desconhecido	Média	Média	C	Sim
121	BARRAGEM DO SABÃO I	Galvani Indústria Comércio e Serviços S.a.	00.546.997/0001-80	"-19°02'52.200"""	"-46°43'26.300"""	Sul do Equador	MG	SERRA DO SALITRE	Rocha Fosfática	44	22000000	Etapa única	Baixa	Alta	B	Sim
122	BARRAGEM DO VIGIA	Nacional Minerios Sa	08.446.702/0001-05	"-20°26'16.735"""	"-43°50'02.435"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	30	812901	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
123	Barragem E	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°39'00.734"""	"-46°57'08.359"""	Sul do Equador	MG	ARAXÁ	Fosfato	13,96	90000	Alteamento por linha de centro	Baixa	Alta	B	Sim
124	BARRAGEM ECOLÓGICA 1	Nacional Minerios Sa	08.446.702/0001-05	"-20°09'31.827"""	"-43°50'34.785"""	Sul do Equador	MG	RIO ACIMA	Cascalho	15	41000	Etapa única	Baixa	Alta	B	Sim
125	BARRAGEM ECOLÓGICA 2	Nacional Minerios Sa	08.446.702/0001-05	"-20°09'30.070"""	"-43°50'50.477"""	Sul do Equador	MG	RIO ACIMA	Cascalho	6,5	104000	Etapa única	Baixa	Alta	B	Sim
126	Barragem Eustáquio	Kinross Brasil Mineração S A	20.346.524/0001-46	"-17°08'45.920"""	"-46°54'07.890"""	Sul do Equador	MG	PARACATU	Minério de Ouro Primário	94	148349348	Alteamento por linha de centro	Baixa	Alta	B	Sim
127	Barragem F	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	"-19°39'15.000"""	"-46°57'11.000"""	Sul do Equador	MG	ARAXÁ	Fosfato	25	35200	Alteamento por linha de centro	Baixa	Alta	B	Sim
128	Barragem II Mina Engenho	Mundo Mineração Ltda.	07.950.015/0001-60	"-20°03'46.100"""	"-43°47'41.000"""	Sul do Equador	MG	RIO ACIMA	Minério de Ouro Primário	40	14160,67	Etapa única	Alta	Alta	A	Sim
129	Barragem Mãe D'Água	Cia Mineradora Catite Duo S. A.	16.530.219/0001-32	"-19°36'06.170"""	"-43°01'47.700"""	Sul do Equador	MG	NOVA ERA	Minério de Ferro	48	3100000	Etapa única	Média	Média	C	Sim
130	Barragem Mina Engenho	Mundo Mineração Ltda.	07.950.015/0001-60	"-20°03'42.100"""	"-43°47'40.900"""	Sul do Equador	MG	RIO ACIMA	Minério de Ouro Primário	32	549927	Etapa única	Alta	Alta	A	Sim
131	Barragem Mina Oeste (Somisa)	Mineração Usiminas S.a.	12.056.613/0001-20	"-20°10'02.400"""	"-44°27'36.000"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	80	12535000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
132	BARRAGEM MINAR	Minar Mineração Aredes Ltda.	20.066.908/0001-05	"-20°16'54.200"""	"-43°53'58.510"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	1	87775	Etapa única	Média	Alta	B	Sim
133	Barragem MRDM	Mineração Riacho dos Machados Ltda.	08.832.667/0001-62	"-16°03'17.7304"""	"-43°06'50.7337"""	Sul do Equador	MG	RIACHO DOS MACHADOS	Minério de Ouro Primário	33	6379265,53	Alteamento a jusante	Baixa	Alta	B	Sim
134	Barragem Paciência	Mineração Serras do Oeste Eireli	28.917.748/0001-72	"-20°12'37.637"""	"-43°41'08.800"""	Sul do Equador	MG	ITABIRITO	Minério de Ouro Primário	34	1400000	Alteamento a jusante	Baixa	Alta	B	Sim
135	BARRAGEM REJEITOS	Nexa Recursos Minerais S.a	42.416.651/0001-07	"-20°53'34.300"""	"-46°42'19.000"""	Sul do Equador	MG	FORTALEZA DE MINAS	Minério de Níquel	46,8	3250000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
136	Barragem RG2W	Mineração Serras do Oeste Eireli	28.917.748/0001-72	"-19°57'29.710"""	"-43°38'05.312"""	Sul do Equador	MG	CAETÉ	Minério de Ouro Primário	61	551621	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
137	Barragem Samambaia 0 (Zero)	Mineração Usiminas S.a.	12.056.613/0001-20	"-20°10'22.518"""	"-44°26'54.771"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	46	7545160	Alteamento a jusante	Baixa	Alta	B	Sim
138	Barragem Santo Antônio	Kinross Brasil Mineração S A	20.346.524/0001-46	"-17°08'46.800"""	"-46°51'22.540"""	Sul do Equador	MG	PARACATU	Minério de Ouro Primário	104	399058945	Alteamento por linha de centro	Baixa	Alta	B	Sim
139	BARRAGEM SERRINHA	Ferrous Resources do Brasil Sa	08.852.207/0001-04	"-20°10'28.800"""	"-43°58'33.600"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	4	100000	Etapa única	Baixa	Média	C	Sim
140	Bocaina	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°26'26.440"""	"-43°47'24.160"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	56	955000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
141	Borrachudo	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°36'33.516"""	"-43°15'48.177"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	6	190000	Etapa única	Baixa	Alta	B	Sim
142	Cachoeirinha	Vallourec Mineração Ltda	22.931.380/0001-10	"-20°09'09.800"""	"-43°57'55.600"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	45	2850833,82	Alteamento a jusante	Baixa	Alta	B	Sim
143	CALCINADOS	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	"-19°57'49.000"""	"-43°50'20.000"""	Sul do Equador	MG	NOVA LIMA	Minério de Ouro Primário	57	3408804	Alteamento a jusante	Baixa	Alta	B	Sim
144	Califórnia	Nacional de Grafite Ltda	21.228.861/0001-00	"-16°12'27.500"""	"-39°56'49.000"""	Sul do Equador	MG	SALTO DA DIVISA	Xisto	25,5	3000000	Alteamento a jusante	Baixa	Alta	B	Sim
145	Cambucal I	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°38'26.316"""	"-43°14'29.320"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	15,4	220841	Alteamento a jusante	Baixa	Alta	B	Sim
146	Cambucal II	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°38'44.132"""	"-43°14'32.010"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	21,3	157082	Alteamento a jusante	Baixa	Alta	B	Sim
147	Campo Grande	Vale S A Filial: Vale Mariana	33.592.510/0412-68	"-20°10'33.845"""	"-43°29'14.340"""	Sul do Equador	MG	MARIANA	Minério de Ferro	99,3	22978889	Alteamento por linha de centro	Baixa	Alta	B	Sim
148	Capão da Serra	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°04'07.200"""	"-43°55'50.100"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	47	2230000	Alteamento a jusante	Baixa	Alta	B	Sim
149	Capim Branco	Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba	33.417.445/0026-89	"-20°06'29.782"""	"-44°04'25.204"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	27	470000	Etapa única	Baixa	Alta	B	Sim
150	Capitão do Mato	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°07'47.600"""	"-43°55'32.500"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	36	2136495	Etapa única	Baixa	Alta	B	Sim
151	CAVA B	Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa	00.546.997/0002-60	"-18°16'47.500"""	"-46°51'43.600"""	Sul do Equador	MG	LAGAMAR	Fosfato	21	1890000	Alteamento a jusante	Baixa	Baixa	E	Sim
152	CAVA C	Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa	00.546.997/0002-60	"-18°15'13.200"""	"-46°50'27.700"""	Sul do Equador	MG	LAGAMAR	Fosfato	48	2817000	Alteamento por linha de centro	Baixa	Baixa	E	Sim
153	Cemig I	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°34'32.225"""	"-43°12'17.125"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	32,5	8795438	Alteamento a jusante	Baixa	Alta	B	Sim
154	Cemig II	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°34'21.721"""	"-43°11'51.131"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	22,35	870558	Alteamento a jusante	Baixa	Alta	B	Sim
155	Cianita 1	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°11'47.700"""	"-43°52'01.500"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	23,05	680000	Etapa única	Baixa	Alta	B	Sim
156	Clarificação Bocaina	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°26'28.390"""	"-43°47'04.200"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	21	9126	Etapa única	Baixa	Alta	B	Sim
157	Cobras	Vale S A Filial: Vale Mariana	33.592.510/0412-68	"-20°07'58.744"""	"-43°24'37.294"""	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	13,45	20000	Etapa única	Baixa	Média	C	Sim
158	COCURUTO	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	"-19°58'25.000"""	"-43°49'46.000"""	Sul do Equador	MG	NOVA LIMA	Minério de Ouro Primário	41	4240553	Alteamento a jusante	Baixa	Alta	B	Sim
159	Conceição	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°38'51.300"""	"-43°16'26.900"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	60	35874318	Etapa única	Baixa	Alta	B	Sim
160	CONTENÇÃO DE FINOS DE CDS I	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	"-20°01'09.000"""	"-43°29'34.000"""	Sul do Equador	MG	SANTA BÁRBARA	Filito	13	260000	Alteamento a jusante	Baixa	Alta	B	Sim
161	CONTENÇÃO DE REJEITOS DE CDS II	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	"-19°59'05.000"""	"-43°28'17.000"""	Sul do Equador	MG	SANTA BÁRBARA	Minério de Ouro Primário	82	7907500	Alteamento por linha de centro	Baixa	Alta	B	Sim
162	CONTENÇÃO DE REJEITOS DE CUIABÁ	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	"-19°51'56.815"""	"-43°43'39.215"""	Sul do Equador	MG	SABARÁ	Minério de Ouro Primário	90	7521683,5	Alteamento a jusante	Baixa	Alta	B	Sim
163	Dicão	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	"-19°52'29.203"""	"-43°22'47.022"""	Sul do Equador	MG	SÃO GONÇALO DO RIO ABAIXO	Minério de Ferro	32,7	989786	Etapa única	Baixa	Alta	B	Sim
164	Dicão Leste	Vale S A Filial: Vale Mariana	33.592.510/0412-68	"-20°08'21.443"""	"-43°24'44.399"""	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	22,5	150000	Etapa única	Baixa	Média	C	Sim
165	Diogo	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	"-19°55'47.792"""	"-43°11'46.298"""	Sul do Equador	MG	RIO PIRACICABA	Minério de Ferro	39	6571347,7	Etapa única	Baixa	Alta	B	Sim
166	Dique 01	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	"-20°07'05.850"""	"-44°19'11.450"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	15	100	Etapa única	Baixa	Média	C	Sim
167	Dique 02	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	"-20°07'15.440"""	"-44°19'22.200"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	20	400	Etapa única	Baixa	Média	C	Sim
168	Dique B - Pilha de Estéril Alegria E (Dique Oficina)	Samarco Mineração S A.	16.628.281/0001-61	"-20°11'21.588"""	"-43°30'31.953"""	Sul do Equador	MG	OURO PRETO	Sedimento	15	12600	Etapa única	Baixa	Média	C	Sim
169	Dique B3 Ipê	Emicon Mineração e Terraplenagem LTDA.	16.679.953/0001-68	"-20°07'09.700"""	"-44°18'57.400"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	23,5	10010305	Alteamento a jusante	Média	Média	C	Sim
170	Dique B4 Ipê	Emicon Mineração e Terraplenagem LTDA.	16.679.953/0001-68	"-20°07'03.300"""	"-44°19'01.900"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	25	6053	Alteamento a jusante	Baixa	Baixa	E	Sim
171	DIQUE BATATEIRO DE BAIXO	Csn Mineração S.a.	08.902.291/0001-15	"-20°28'52.345"""	"-43°55'20.521"""	Sul do Equador	MG	CONGONHAS	Cascalho	16	18300	Etapa única	Baixa	Baixa	E	Sim
172	Dique BIII-2	Mbl Materiais Básicos Ltda	19.543.206/0001-96	"-20°08'54.160"""	"-44°27'35.942"""	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	9	19765,55	Etapa única	Média	Média	C	Sim
173	Dique BIII-3	Mbl Materiais Básicos Ltda	19.543.206/0001-96	"-20°08'51.941"""	"-44°27'36.371"""	Sul do Equador	MG	ITAÚNA	Minério de Ferro	17	24103,39	Etapa única	Média	Média	C	Sim
174	Dique BIII-4	Mbl Materiais Básicos Ltda	19.543.206/0001-96	"-20°08'48.397"""	"-44°27'37.003"""	Sul do Equador	MG	ITAÚNA	Minério de Ferro	6	6	Etapa única	Média	Média	C	Sim
175	Dique BIII-5	Mbl Materiais Básicos Ltda	19.543.206/0001-96	"-20°08'47.133"""	"-44°27'38.419"""	Sul do Equador	MG	ITAÚNA	Minério de Ferro	4	11	Etapa única	Média	Média	C	Sim
176	Dique Couves (MBL)	Mineração Usiminas S.a.	12.056.613/0001-20	"-20°09'16.000"""	"-44°26'47.000"""	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	24	13241	Etapa única	Baixa	Média	C	Sim
177	DIQUE D	Brasmic Mineração Areia e Brita Ltda	22.470.777/0001-52	"-19°59'08.000"""	"-44°07'17.300"""	Sul do Equador	MG	BETIM	Areia e Cascalho	23	1540000	Alteamento a jusante	Baixa	Alta	B	Sim
178	DIQUE DA PILHA DA VILA II	Csn Mineração S.a.	08.902.291/0001-15	"-20°27'08.000"""	"-43°53'59.000"""	Sul do Equador	MG	CONGONHAS	Cascalho	28	18556	Etapa única	Baixa	Baixa	E	Sim
179	Dique de Contenção de Sedimentos 01	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-18°53'57.000"""	"-43°24'30.000"""	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	12	318425	Etapa única	Baixa	Média	C	Sim
180	Dique de Contenção de Sedimentos 02	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-18°53'23.000"""	"-43°24'19.000"""	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	12	634140	Etapa única	Baixa	Média	C	Sim
181	Dique de Contenção de Sedimentos 03	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-18°55'15.0204"""	"-43°24'19.4335"""	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Sedimento	15,5	473452	Etapa única	Baixa	Alta	B	Sim
182	Dique de Contenção de Sedimentos 04	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-18°55'54.000"""	"-43°24'06.000"""	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Sedimento	14,6	81360,9	Etapa única	Baixa	Média	C	Sim
183	DIQUE DO BICHENTO IIIA	Csn Mineração S.a.	08.902.291/0001-15	"-20°29'06.000"""	"-43°56'00.000"""	Sul do Equador	MG	CONGONHAS	Cascalho	15,5	116696	Etapa única	Baixa	Baixa	E	Sim
184	DIQUE DO ENGENHO	Nacional Minerios Sa	08.446.702/0001-05	"-20°27'25.3991"""	"-43°53'41.2588"""	Sul do Equador	MG	CONGONHAS	Cascalho	10	8821	Etapa única	Baixa	Média	C	Sim
185	DIQUE DO ESMERIL IV	Csn Mineração S.a.	08.902.291/0001-15	"-20°29'07.000"""	"-43°57'18.000"""	Sul do Equador	MG	CONGONHAS	Cascalho	38	282079	Etapa única	Baixa	Alta	B	Sim
186	Dique Lisa	Vallourec Mineração Ltda	22.931.380/0001-10	"-20°08'59.100"""	"-43°57'52.500"""	Sul do Equador	MG	NOVA LIMA	Areia e Cascalho	12	45562,87	Etapa única	Baixa	Alta	B	Sim
187	Dique Norte da PDE 1	Gerdau Açominas S.a.	17.227.422/0001-05	"-20°18'06.730"""	"-43°55'22.890"""	Sul do Equador	MG	ITABIRITO	Dolomito	25	25200	Etapa única	Baixa	Média	C	Sim
188	Dique Oeste	Mineração Usiminas S.a.	12.056.613/0001-20	"-20°10'15.500"""	"-44°27'16.500"""	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	16,7	85000	Etapa única	Baixa	Baixa	E	Sim
189	Dique S3	Samarco Mineração S A.	16.628.281/0001-61	"-20°14'09.149"""	"-43°25'22.771"""	Sul do Equador	MG	MARIANA	Sedimento	12	2950000	Alteamento a jusante	Baixa	Alta	B	Sim
190	Dique S4	Samarco Mineração S A.	16.628.281/0001-61	"-20°14'28.600"""	"-43°24'39.193"""	Sul do Equador	MG	MARIANA	Sedimento	12,5	1006318	Etapa única	Baixa	Alta	B	Sim
191	Doutor	Vale S A Filial: Vale Mariana	33.592.510/0412-68	"-20°17'25.615"""	"-43°29'25.900"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	77	37683207,4	Alteamento por linha de centro	Baixa	Alta	B	Sim
192	EB-2	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	"-20°20'41.300"""	"-42°33'42.800"""	Sul do Equador	MG	SANTO ANTÔNIO DO GRAMA	Minério de Ferro	50	204000	Etapa única	Baixa	Baixa	E	Sim
193	Elefante	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	"-19°55'56.851"""	"-43°12'33.168"""	Sul do Equador	MG	RIO PIRACICABA	Minério de Ferro	17	201441	Etapa única	Baixa	Baixa	E	Sim
194	Fernandinho	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°10'59.900"""	"-43°51'34.200"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	19	1020000	Alteamento a montante ou desconhecido	Baixa	Baixa	E	Sim
195	Forquilha I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°24'21.800"""	"-43°51'20.600"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	98,28	12042671	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
196	Forquilha II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°24'29.800"""	"-43°51'06.500"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	95,76	20862740	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
197	Forquilha III	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°24'39.300"""	"-43°50'11.800"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	77	23143107,62	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
198	Forquilha IV	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°23'41.200"""	"-43°51'05.600"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	105	4306560	Etapa única	Baixa	Alta	B	Sim
199	Freitas	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°25'55.900"""	"-43°50'58.400"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	7,5	45000	Etapa única	Baixa	Média	C	Sim
200	Galego	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	"-19°51'25.900"""	"-43°48'16.300"""	Sul do Equador	MG	SABARÁ	Minério de Ferro	37,28	1261209,07	Alteamento a jusante	Baixa	Alta	B	Sim
201	Grupo	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°24'53.200"""	"-43°51'54.500"""	Sul do Equador	MG	OURO PRETO	Minério de Ferro	43	800000	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
202	I	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°07'08.800"""	"-44°07'12.900"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	86	11741325,34	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
203	II	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°09'10.400"""	"-43°53'18.300"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	20	18241	Etapa única	Baixa	Baixa	E	Sim
204	III	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	"-20°09'20.500"""	"-43°53'13.600"""	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	11	16846	Etapa única	Baixa	Média	C	Sim
205	Itabiruçu	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°41'07.300"""	"-43°17'10.400"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	71	130751697,3	Alteamento a jusante	Baixa	Alta	B	Sim
206	Itamarati de Minas	Companhia Brasileira de Alumínio	61.409.892/0001-73	"-21°27'18.809"""	"-42°52'17.972"""	Sul do Equador	MG	ITAMARATI DE MINAS	Bauxita Grau Metalúrgico	38	13820000	Etapa única	Baixa	Alta	B	Sim
207	IV	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°08'12.200"""	"-44°07'13.300"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	13,4	238000	Etapa única	Baixa	Alta	B	Sim
208	IV-A	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°08'22.200"""	"-44°07'23.100"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	14	130000	Etapa única	Baixa	Alta	B	Sim
209	Jirau	Vale S A Filial: Vale Itabira	33.592.510/0164-09	"-19°34'13.730"""	"-43°13'53.604"""	Sul do Equador	MG	ITABIRA	Minério de Ferro	15	1400000	Etapa única	Baixa	Baixa	E	Sim
210	Lavra Azul	Vale S A Filial: Vale Mariana	33.592.510/0412-68	"-20°07'03.986"""	"-43°24'27.553"""	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	19,1	10000	Etapa única	Baixa	Média	C	Sim
211	Maravilhas I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°13'29.700"""	"-43°52'23.600"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	12	1860000	Alteamento a jusante	Baixa	Média	C	Sim
212	Maravilhas II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°12'51.900"""	"-43°53'30.100"""	Sul do Equador	MG	ITABIRITO	Minério de Ferro	97,92	94590445	Alteamento a jusante	Baixa	Alta	B	Sim
213	Marçu	Nacional de Grafite Ltda	21.228.861/0001-00	"-15°53'19.800"""	"-41°03'36.800"""	Sul do Equador	MG	PEDRA AZUL	Xisto	37	156260	Alteamento a jusante	Baixa	Média	C	Sim
214	Marés I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°25'31.000"""	"-43°55'40.300"""	Sul do Equador	MG	BELO VALE	Minério de Ferro	12,7	15000	Etapa única	Baixa	Alta	B	Sim
215	Marés II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	"-20°26'02.200"""	"-43°55'53.600"""	Sul do Equador	MG	BELO VALE	Minério de Ferro	16,05	241000	Etapa única	Baixa	Alta	B	Sim
216	Menezes I	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°07'10.700"""	"-44°08'21.200"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	16,85	8068	Etapa única	Baixa	Baixa	E	Sim
217	Menezes II	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	"-20°07'41.100"""	"-44°08'17.800"""	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	21	290202,16	Etapa única	Baixa	Alta	B	Sim
