NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
Barragem da Mina II	Companhia Mineradora do Pirocloro de Araxá	17.806.779/0001-30	-19°39'25.200"	-46°56'24.650"	Sul do Equador	MG	ARAXÁ	Minério de Nióbio	25	22.000,00	Etapa única	Baixa	Baixa	E	Sim
Barragem de Aredes	Safm Mineração Ltda	09.325.670/0001-52	-20°16'32.800"	-43°53'53.600"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	17	450.281,80	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
Barragem de Contenção de Sedimentos do Josino	Ferro + Mineração S.a.	21.256.870/0001-04	-20°25'32.160"	-43°51'52.890"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	9	16.636,00	Alteamento a jusante	Baixa	Média	C	Sim
Barragem de Decantação de Água e Polpa - EBII - Mineroduto	Samarco Mineração S A.	16.628.281/0001-61	-20°22'19.041"	-42°21'17.308"	Sul do Equador	MG	MATIPÓ	Sedimento	17	120.942,00	Etapa única	Baixa	Alta	B	Sim
Barragem de Germano	Samarco Mineração S A.	16.628.281/0001-61	-20°12'59.400"	-43°28'04.600"	Sul do Equador	MG	MARIANA	Itabirito	163	129.590.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Barragem de Mercês	Bauminas Mineração Ltda	19.534.650/0001-45	-21°07'57.271"	-43°21'01.241"	Sul do Equador	MG	MERCÊS	Bauxita Grau Não Metalúrgico	29,5	237.000,00	Etapa única	Baixa	Baixa	E	Sim
Barragem de Rejeito 1	Mbl Materiais Básicos Ltda	19.543.206/0001-96	-20°09'24.900"	-44°28'24.200"	Sul do Equador	MG	ITAÚNA	Minério de Ferro	27,5	72.597,75	Etapa única	Baixa	Baixa	E	Sim
Barragem de Rejeitos	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-18°51'54.800"	-43°24'29.200"	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	41,5	60.000.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
Barragem de Rejeitos	Arcelormittal Mineração Serra Azul S.a.	08.102.787/0001-04	-20°08'15.300"	-44°23'46.200"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	89	5.250.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
BARRAGEM DIQUE 2	Minar Mineração Aredes Ltda.	20.066.908/0001-05	-20°17'09.506"	-43°53'54.556"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	25	396.000,00	Alteamento a montante ou desconhecido	Média	Média	C	Sim
BARRAGEM DO SABÃO I	Galvani Indústria Comércio e Serviços S.a.	00.546.997/0001-80	-19°02'52.200"	-46°43'26.300"	Sul do Equador	MG	SERRA DO SALITRE	Rocha Fosfática	44	22.000.000,00	Etapa única	Baixa	Alta	B	Sim
BARRAGEM DO VIGIA	Nacional Minerios Sa	08.446.702/0001-05	-20°26'16.735"	-43°50'02.435"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	30	812.901,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Barragem E	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	-19°39'00.734"	-46°57'08.359"	Sul do Equador	MG	ARAXÁ	Fosfato	13,96	90.000,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
BARRAGEM ECOLÓGICA 1	Nacional Minerios Sa	08.446.702/0001-05	-20°09'31.827"	-43°50'34.785"	Sul do Equador	MG	RIO ACIMA	Cascalho	15	41.000,00	Etapa única	Baixa	Alta	B	Sim
BARRAGEM ECOLÓGICA 2	Nacional Minerios Sa	08.446.702/0001-05	-20°09'30.070"	-43°50'50.477"	Sul do Equador	MG	RIO ACIMA	Cascalho	6,5	104.000,00	Etapa única	Baixa	Alta	B	Sim
Barragem Eustáquio	Kinross Brasil Mineração S A	20.346.524/0001-46	-17°08'45.920"	-46°54'07.890"	Sul do Equador	MG	PARACATU	Minério de Ouro Primário	94	148.349.348,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
Barragem F	Mosaic Fertilizantes P&K S.A. Filial: Araxa	33.931.486/0019-60	-19°39'15.000"	-46°57'11.000"	Sul do Equador	MG	ARAXÁ	Fosfato	25	35.200,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
Barragem II Mina Engenho	Mundo Mineração Ltda.	07.950.015/0001-60	-20°03'46.100"	-43°47'41.000"	Sul do Equador	MG	RIO ACIMA	Minério de Ouro Primário	40	14.160,67	Etapa única	Alta	Alta	A	Sim
Barragem Mãe D'Água	Cia Mineradora Catite Duo S. A.	16.530.219/0001-32	-19°36'06.170"	-43°01'47.700"	Sul do Equador	MG	NOVA ERA	Minério de Ferro	48	3.100.000,00	Etapa única	Média	Média	C	Sim
Barragem Mina Engenho	Mundo Mineração Ltda.	07.950.015/0001-60	-20°03'42.100"	-43°47'40.900"	Sul do Equador	MG	RIO ACIMA	Minério de Ouro Primário	32	549.927,00	Etapa única	Alta	Alta	A	Sim
Barragem Mina Oeste (Somisa)	Mineração Usiminas S.a.	12.056.613/0001-20	-20°10'02.400"	-44°27'36.000"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	80	12.535.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
BARRAGEM MINAR	Minar Mineração Aredes Ltda.	20.066.908/0001-05	-20°16'54.200"	-43°53'58.510"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	1	87.775,00	Etapa única	Média	Alta	B	Sim
Barragem MRDM	Mineração Riacho dos Machados Ltda.	08.832.667/0001-62	-16°03'22.500"	-43°07'45.000"	Sul do Equador	MG	RIACHO DOS MACHADOS	Minério de Ouro Primário	33	6.379.265,53	Alteamento a jusante	Baixa	Alta	B	Sim
Barragem Paciência	Mineração Serras do Oeste Eireli	28.917.748/0001-72	-20°12'37.637"	-43°41'08.800"	Sul do Equador	MG	ITABIRITO	Minério de Ouro Primário	34	1.400.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
BARRAGEM REJEITOS	Nexa Recursos Minerais S.a	42.416.651/0001-07	-20°53'34.300"	-46°42'19.000"	Sul do Equador	MG	FORTALEZA DE MINAS	Minério de Níquel	46,8	3.250.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Barragem RG2W	Mineração Serras do Oeste Eireli	28.917.748/0001-72	-19°57'29.710"	-43°38'05.312"	Sul do Equador	MG	CAETÉ	Minério de Ouro Primário	61	551.621,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
Barragem Samambaia 0 (Zero)	Mineração Usiminas S.a.	12.056.613/0001-20	-20°10'22.518"	-44°26'54.771"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	46	7.545.160,00	Alteamento a jusante	Baixa	Alta	B	Sim
Barragem Santo Antônio	Kinross Brasil Mineração S A	20.346.524/0001-46	-17°08'46.800"	-46°51'22.540"	Sul do Equador	MG	PARACATU	Minério de Ouro Primário	104	399.058.945,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
BARRAGEM SERRINHA	Ferrous Resources do Brasil Sa	08.852.207/0001-04	-20°10'28.800"	-43°58'33.600"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	4	100.000,00	Etapa única	Baixa	Média	C	Sim
Bocaina	Gerdau Açominas S.a.	17.227.422/0001-05	-20°26'26.440"	-43°47'24.160"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	56	955.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Borrachudo	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°36'33.516"	-43°15'48.177"	Sul do Equador	MG	ITABIRA	Minério de Ferro	6	190.000,00	Etapa única	Baixa	Alta	B	Sim
Cachoeirinha	Vallourec Mineração Ltda	22.931.380/0001-10	-20°09'09.800"	-43°57'55.600"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	45	2.850.833,82	Alteamento a jusante	Baixa	Alta	B	Sim
CALCINADOS	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	-19°57'49.000"	-43°50'20.000"	Sul do Equador	MG	NOVA LIMA	Minério de Ouro Primário	57	3.408.804,00	Alteamento a jusante	Baixa	Alta	B	Sim
Califórnia	Nacional de Grafite Ltda	21.228.861/0001-00	-16°12'27.500"	-39°56'49.000"	Sul do Equador	MG	SALTO DA DIVISA	Xisto	25,5	3.000.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
Cambucal I	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°38'26.316"	-43°14'29.320"	Sul do Equador	MG	ITABIRA	Minério de Ferro	15,4	220.841,00	Alteamento a jusante	Baixa	Alta	B	Sim
Cambucal II	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°38'44.132"	-43°14'32.010"	Sul do Equador	MG	ITABIRA	Minério de Ferro	21,3	157.082,00	Alteamento a jusante	Baixa	Alta	B	Sim
Campo Grande	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°10'33.845"	-43°29'14.340"	Sul do Equador	MG	MARIANA	Minério de Ferro	99,3	22.978.889,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
Capão da Serra	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°04'07.200"	-43°55'50.100"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	47	2.230.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
Capim Branco	Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba	33.417.445/0026-89	-20°06'29.782"	-44°04'25.204"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	27	470.000,00	Etapa única	Baixa	Alta	B	Sim
Capitão do Mato	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°07'47.600"	-43°55'32.500"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	36	2.136.495,00	Etapa única	Baixa	Alta	B	Sim
CAVA B	Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa	00.546.997/0002-60	-18°16'47.500"	-46°51'43.600"	Sul do Equador	MG	LAGAMAR	Fosfato	21	1.890.000,00	Alteamento a jusante	Baixa	Baixa	E	Sim
CAVA C	Galvani Indústria Comércio e Serviços S.a. Filial: Roberto Eustáquio Silva Pedrosa	00.546.997/0002-60	-18°15'13.200"	-46°50'27.700"	Sul do Equador	MG	LAGAMAR	Fosfato	48	2.817.000,00	Alteamento por linha de centro	Baixa	Baixa	E	Sim
Cemig I	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°34'32.225"	-43°12'17.125"	Sul do Equador	MG	ITABIRA	Minério de Ferro	32,5	8.795.438,00	Alteamento a jusante	Baixa	Alta	B	Sim
Cemig II	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°34'21.721"	-43°11'51.131"	Sul do Equador	MG	ITABIRA	Minério de Ferro	22,35	870.558,00	Alteamento a jusante	Baixa	Alta	B	Sim
Cianita 1	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°11'47.700"	-43°52'01.500"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	23,05	680.000,00	Etapa única	Baixa	Alta	B	Sim
Clarificação Bocaina	Gerdau Açominas S.a.	17.227.422/0001-05	-20°26'28.390"	-43°47'04.200"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	21	9.126,00	Etapa única	Baixa	Alta	B	Sim
Cobras	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°07'58.744"	-43°24'37.294"	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	13,45	20.000,00	Etapa única	Baixa	Média	C	Sim
COCURUTO	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	-19°58'25.000"	-43°49'46.000"	Sul do Equador	MG	NOVA LIMA	Minério de Ouro Primário	41	4.240.553,00	Alteamento a jusante	Baixa	Alta	B	Sim
Conceição	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°38'51.300"	-43°16'26.900"	Sul do Equador	MG	ITABIRA	Minério de Ferro	60	35.874.318,00	Etapa única	Baixa	Alta	B	Sim
CONTENÇÃO DE FINOS DE CDS I	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	-20°01'09.000"	-43°29'34.000"	Sul do Equador	MG	SANTA BÁRBARA	Filito	13	260.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
CONTENÇÃO DE REJEITOS DE CDS II	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	-19°59'05.000"	-43°28'17.000"	Sul do Equador	MG	SANTA BÁRBARA	Minério de Ouro Primário	82	7.907.500,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
CONTENÇÃO DE REJEITOS DE CUIABÁ	Anglogold Ashanti Córrego do Sítio Mineração S.a.	18.565.382/0001-66	-19°51'56.815"	-43°43'39.215"	Sul do Equador	MG	SABARÁ	Minério de Ouro Primário	90	7.521.683,50	Alteamento a jusante	Baixa	Alta	B	Sim
Dicão	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°52'29.203"	-43°22'47.022"	Sul do Equador	MG	SÃO GONÇALO DO RIO ABAIXO	Minério de Ferro	32,7	989.786,00	Etapa única	Baixa	Alta	B	Sim
Dicão Leste	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°08'21.443"	-43°24'44.399"	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	22,5	150.000,00	Etapa única	Baixa	Média	C	Sim
Diogo	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°55'47.792"	-43°11'46.298"	Sul do Equador	MG	RIO PIRACICABA	Minério de Ferro	39	6.571.347,70	Etapa única	Baixa	Alta	B	Sim
Dique 01	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	-20°07'05.850"	-44°19'11.450"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	15	100	Etapa única	Baixa	Média	C	Sim
Dique 02	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	-20°07'15.440"	-44°19'22.200"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	20	400	Etapa única	Baixa	Média	C	Sim
Dique B - Pilha de Estéril Alegria E (Dique Oficina)	Samarco Mineração S A.	16.628.281/0001-61	-20°11'21.588"	-43°30'31.953"	Sul do Equador	MG	OURO PRETO	Sedimento	15	12.600,00	Etapa única	Baixa	Média	C	Sim
Dique B3 Ipê	Emicon Mineração e Terraplenagem LTDA.	16.679.953/0001-68	-20°07'09.700"	-44°18'57.400"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	23,5	10.010.305,00	Alteamento a jusante	Média	Média	C	Sim
Dique B4 Ipê	Emicon Mineração e Terraplenagem LTDA.	16.679.953/0001-68	-20°07'03.300"	-44°19'01.900"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	25	6.053,00	Alteamento a jusante	Baixa	Baixa	E	Sim
DIQUE BATATEIRO DE BAIXO	Csn Mineração S.a.	08.902.291/0001-15	-20°28'52.345"	-43°55'20.521"	Sul do Equador	MG	CONGONHAS	Cascalho	16	18.300,00	Etapa única	Baixa	Baixa	E	Sim
Dique BIII-2	Mbl Materiais Básicos Ltda	19.543.206/0001-96	-20°08'54.160"	-44°27'35.942"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	9	19.765,55	Etapa única	Média	Média	C	Sim
Dique BIII-3	Mbl Materiais Básicos Ltda	19.543.206/0001-96	-20°08'51.941"	-44°27'36.371"	Sul do Equador	MG	ITAÚNA	Minério de Ferro	17	24.103,39	Etapa única	Média	Média	C	Sim
Dique BIII-4	Mbl Materiais Básicos Ltda	19.543.206/0001-96	-20°08'48.397"	-44°27'37.003"	Sul do Equador	MG	ITAÚNA	Minério de Ferro	6	6	Etapa única	Média	Média	C	Sim
Dique BIII-5	Mbl Materiais Básicos Ltda	19.543.206/0001-96	-20°08'47.133"	-44°27'38.419"	Sul do Equador	MG	ITAÚNA	Minério de Ferro	4	11	Etapa única	Média	Média	C	Sim
Dique Couves (MBL)	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'16.000"	-44°26'47.000"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	24	13.241,00	Etapa única	Baixa	Média	C	Sim
DIQUE D	Brasmic Mineração Areia e Brita Ltda	22.470.777/0001-52	-19°59'08.000"	-44°07'17.300"	Sul do Equador	MG	BETIM	Areia e Cascalho	23	1.540.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
DIQUE DA PILHA DA VILA II	Csn Mineração S.a.	08.902.291/0001-15	-20°27'08.000"	-43°53'59.000"	Sul do Equador	MG	CONGONHAS	Cascalho	28	18.556,00	Etapa única	Baixa	Baixa	E	Sim
Dique de Contenção de Sedimentos 01	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-18°53'57.000"	-43°24'30.000"	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	12	318.425,00	Etapa única	Baixa	Média	C	Sim
Dique de Contenção de Sedimentos 02	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-18°53'23.000"	-43°24'19.000"	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Minério de Ferro	12	634.140,00	Etapa única	Baixa	Média	C	Sim
Dique de Contenção de Sedimentos 03	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-18°55'14.984"	-43°24'23.663"	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Sedimento	15,5	473.452,00	Etapa única	Baixa	Alta	B	Sim
Dique de Contenção de Sedimentos 04	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-18°55'54.000"	-43°24'06.000"	Sul do Equador	MG	CONCEIÇÃO DO MATO DENTRO	Sedimento	14,6	81.360,90	Etapa única	Baixa	Média	C	Sim
DIQUE DO BICHENTO IIIA	Csn Mineração S.a.	08.902.291/0001-15	-20°29'06.000"	-43°56'00.000"	Sul do Equador	MG	CONGONHAS	Cascalho	15,5	116.696,00	Etapa única	Baixa	Baixa	E	Sim
DIQUE DO ENGENHO	Nacional Minerios Sa	08.446.702/0001-05	-20°27'23.300"	-43°53'40.100"	Sul do Equador	MG	CONGONHAS	Cascalho	10	8.821,00	Etapa única	Baixa	Média	C	Sim
DIQUE DO ESMERIL IV	Csn Mineração S.a.	08.902.291/0001-15	-20°29'07.000"	-43°57'18.000"	Sul do Equador	MG	CONGONHAS	Cascalho	38	282.079,00	Etapa única	Baixa	Alta	B	Sim
Dique Lisa	Vallourec Mineração Ltda	22.931.380/0001-10	-20°08'59.100"	-43°57'52.500"	Sul do Equador	MG	NOVA LIMA	Areia e Cascalho	12	45.562,87	Etapa única	Baixa	Alta	B	Sim
Dique Norte da PDE 1	Gerdau Açominas S.a.	17.227.422/0001-05	-20°18'06.730"	-43°55'22.890"	Sul do Equador	MG	ITABIRITO	Dolomito	25	25.200,00	Etapa única	Baixa	Média	C	Sim
Dique Oeste	Mineração Usiminas S.a.	12.056.613/0001-20	-20°10'15.500"	-44°27'16.500"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	16,7	85.000,00	Etapa única	Baixa	Baixa	E	Sim
Dique S3	Samarco Mineração S A.	16.628.281/0001-61	-20°14'09.149"	-43°25'22.771"	Sul do Equador	MG	MARIANA	Sedimento	12	2.950.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
Dique S4	Samarco Mineração S A.	16.628.281/0001-61	-20°14'28.600"	-43°24'39.193"	Sul do Equador	MG	MARIANA	Sedimento	12,5	1.006.318,00	Etapa única	Baixa	Alta	B	Sim
Doutor	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°17'25.615"	-43°29'25.900"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	77	37.683.207,40	Alteamento por linha de centro	Baixa	Alta	B	Sim
EB-2	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-20°20'41.300"	-42°33'42.800"	Sul do Equador	MG	SANTO ANTÔNIO DO GRAMA	Minério de Ferro	50	204.000,00	Etapa única	Baixa	Baixa	E	Sim
Elefante	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°55'56.851"	-43°12'33.168"	Sul do Equador	MG	RIO PIRACICABA	Minério de Ferro	17	201.441,00	Etapa única	Baixa	Baixa	E	Sim
Fernandinho	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°10'59.900"	-43°51'34.200"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	19	1.020.000,00	Alteamento a montante ou desconhecido	Baixa	Baixa	E	Sim
Forquilha I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°24'21.800"	-43°51'20.600"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	98,28	12.042.671,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Forquilha II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°24'29.800"	-43°51'06.500"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	95,76	20.862.740,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Forquilha III	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°24'39.300"	-43°50'11.800"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	77	23.143.107,62	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Forquilha IV	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°23'41.200"	-43°51'05.600"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	105	4.306.560,00	Etapa única	Baixa	Alta	B	Sim
Freitas	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°25'55.900"	-43°50'58.400"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	7,5	45.000,00	Etapa única	Baixa	Média	C	Sim
Galego	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°51'25.900"	-43°48'16.300"	Sul do Equador	MG	SABARÁ	Minério de Ferro	37,28	1.261.209,07	Alteamento a jusante	Baixa	Alta	B	Sim
Grupo	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°24'53.200"	-43°51'54.500"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	43	800.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
I	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	-20°07'08.800"	-44°07'12.900"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	86	11.741.325,34	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
II	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°09'10.400"	-43°53'18.300"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	20	18.241,00	Etapa única	Baixa	Baixa	E	Sim
III	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°09'20.500"	-43°53'13.600"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	11	16.846,00	Etapa única	Baixa	Média	C	Sim
Itabiruçu	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°41'07.300"	-43°17'10.400"	Sul do Equador	MG	ITABIRA	Minério de Ferro	71	130.751.697,30	Alteamento a jusante	Baixa	Alta	B	Sim
Itamarati de Minas	Companhia Brasileira de Alumínio	61.409.892/0001-73	-21°27'18.809"	-42°52'17.972"	Sul do Equador	MG	ITAMARATI DE MINAS	Bauxita Grau Metalúrgico	38	13.820.000,00	Etapa única	Baixa	Alta	B	Sim
IV	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	-20°08'12.200"	-44°07'13.300"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	13,4	238.000,00	Etapa única	Baixa	Alta	B	Sim
IV-A	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	-20°08'22.200"	-44°07'23.100"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	14	130.000,00	Etapa única	Baixa	Alta	B	Sim
Jirau	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°34'13.730"	-43°13'53.604"	Sul do Equador	MG	ITABIRA	Minério de Ferro	15	1.400.000,00	Etapa única	Baixa	Baixa	E	Sim
Lavra Azul	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°07'03.986"	-43°24'27.553"	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	19,1	10.000,00	Etapa única	Baixa	Média	C	Sim
Maravilhas I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°13'29.700"	-43°52'23.600"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	12	1.860.000,00	Alteamento a jusante	Baixa	Média	C	Sim
Maravilhas II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°12'51.900"	-43°53'30.100"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	97,92	94.590.445,00	Alteamento a jusante	Baixa	Alta	B	Sim
Marçu	Nacional de Grafite Ltda	21.228.861/0001-00	-15°53'19.800"	-41°03'36.800"	Sul do Equador	MG	PEDRA AZUL	Xisto	37	156.260,00	Alteamento a jusante	Baixa	Média	C	Sim
Marés I	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°25'31.000"	-43°55'40.300"	Sul do Equador	MG	BELO VALE	Minério de Ferro	12,7	15.000,00	Etapa única	Baixa	Alta	B	Sim
Marés II	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°26'02.200"	-43°55'53.600"	Sul do Equador	MG	BELO VALE	Minério de Ferro	16,05	241.000,00	Etapa única	Baixa	Alta	B	Sim
Menezes I	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	-20°07'10.700"	-44°08'21.200"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	16,85	8.068,00	Etapa única	Baixa	Baixa	E	Sim
Menezes II	Vale S A Filial: Vale Paraopeba	33.592.510/0035-01	-20°07'41.100"	-44°08'17.800"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	21	290.202,16	Etapa única	Baixa	Alta	B	Sim
Miraí	Companhia Brasileira de Alumínio	61.409.892/0001-73	-21°03'43.757"	-42°33'49.546"	Sul do Equador	MG	MIRAÍ	Bauxita Grau Metalúrgico	52	31.598.100,00	Alteamento a jusante	Baixa	Alta	B	Sim
Moita	Mineração Serras do Oeste Eireli	28.917.748/0001-72	-19°56'05.733"	-43°38'56.601"	Sul do Equador	MG	CAETÉ	Minério de Ouro Primário	19	335.562,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
Monjolo	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°57'49.103"	-43°14'16.323"	Sul do Equador	MG	SANTA BÁRBARA	Minério de Ferro	23,5	400.000,00	Etapa única	Baixa	Alta	B	Sim
Mosquito	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°06'19.708"	-43°24'15.056"	Sul do Equador	MG	CATAS ALTAS	Minério de Ferro	11,3	1.089.830,50	Etapa única	Baixa	Alta	B	Sim
Norte/Laranjeiras	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°50'54.032"	-43°25'18.194"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	58,8	16.550.529,00	Etapa única	Baixa	Alta	B	Sim
Nova Barragem de Santarém	Samarco Mineração S A.	16.628.281/0001-61	-20°13'50.314"	-43°26'29.842"	Sul do Equador	MG	MARIANA	Itabirito	48	6.940.000,00	Etapa única	Baixa	Alta	B	Sim
